0,1,2,3,4,5,6
sj_eed5cc8807d416e0,"Business Analyst E-Commerce (m/w/d)
- job post",Horze International GmbH,,"Vollzeit, Festanstellung","Business Analyst E-Commerce (m/w/d)
Die Horze International GmbH ist ein erfolgreicher und dynamisch wachsender E-Commerce-Händler für Reitsportartikel. Mit mehr als 40.000 Artikeln rund um Pferd und Reiter beliefern unsere Onlineshops Reitsportfans in ganz Europa und in zahlreichen Teilen der Welt. Mit unseren Retail Stores und Kooperationspartnern sind wir auch in der analogen Welt mit viel Leidenschaft und Engagement international für unsere Kunden da.
Wir haben große Pläne für die Zukunft. Du auch? Dann mach mit uns den nächsten Sprung und werde Teil unseres Teams!
Wir suchen ab sofort eine(n) Business Analyst E-Commerce (m/w/d) für unser junges, engagiertes Team am Standort Fulda.
Dein Job
Analyse und Auswertung unserer Performance-Marketing-und CRM-Maßnahmen, inklusive Controlling des Kampagnenerfolgs auf Basis abgestimmter KPIs
Entwicklung von Datenstrukturen im E-Commerce-Umfeld in unserem Data Warehouse sowie Sicherstellung der Qualität der Daten in enger Abstimmung mit unserem BI-Team
Erstellung von Dashboards, Reports und Ad-hoc-Analysen auf Basis von Realtime-Daten sowie Bereitstellung von betriebswirtschaftlichen Auswertungen
Entwicklung von Analysemethoden zur Bewertung des Kauf-und Nutzerverhaltens im Web
regelmäßige Kunden-und Zielgruppenanalysen auf Basis unseres Data Warehouse / Data Virtuality
Aufbereitung der Analyseergebnisse für das Management, inklusive Ableitung von Optimierungspotenzialen und Handlungsempfehlungen
enge Zusammenarbeit sowohl mit der Geschäftsführung, den Fachbereichen als auch externen Partnern
Dein Profil
Du hast ein Studium der Wirtschaftsinformatik oder Wirtschaftswissenschaften mit Schwerpunkt Finanzen/Controlling erfolgreich absolviert.
Du bringst ausgeprägte Analysefähigkeiten und Erfahrung mit Power BI oder ähnlichen BI-Tools mit.
Du hast Erfahrung in der Analyse von E-Commerce-Prozessen im Handel und bringst erste Erfahrungen in der Arbeit mit Webtracking-Tools mit.
Du denkst lösungsorientiert und treibst Veränderungen selbständig voran.
Das Arbeiten in interdisziplinären internationalen Teams bereitet dir Freude.
Wir bieten:
einen fairen, sozialen und freundlichen Arbeitsplatz mit leistungsgerechter Vergütung;
ein modernes Arbeitsumfeld in einer wertschätzenden Unternehmenskultur mit zahlreichen Möglichkeiten zur fachlichen und persönlichen Weiterentwicklung;
spannende, internationale Projekte mit viel Handlungsspielraum und Eigenverantwortung;
eine offene Kommunikationskultur mit flachen Hierarchien;
ein motiviertes und engagiertes junges Team mit Spaß an der Arbeit in einem dynamischen Umfeld;
zahlreiche Benefits wie Mitarbeiterrabatte, ein vom Unternehmen unterstütztes JobRad, betriebliche Altersvorsorge;
Weiterbildungsmöglichkeiten, flexible Arbeitszeiten und Homeoffice-Regelung.
Du hast Interesse?
Wenn du dich dieser Herausforderung stellen möchtest, freuen wir uns auf deine vollständige Bewerbung unter Angabe deiner Gehaltsvorstellung und deinem frühestmöglichen Eintrittstermin.
Art der Stelle: Vollzeit, Festanstellung
Arbeitszeiten:
8-Stunden-Schicht
Leistungen:
Betriebliche Altersvorsorge
Flexible Arbeitszeiten
Homeoffice
Kostenlose Getränke
Kostenloser Parkplatz
Preisnachlässe auf Produkte/Dienstleistungen des Unternehmens
Zusätzliche Urlaubstage
Homeoffice:
Nein",27Dec2021-11:34:02
sj_e986365302f1bbb7,"Network Support Analyst (m/w/d) - Data Centre Operations - Stuttgart
- job post",Infosys,,,"Was wir Ihnen bieten – Navigate your next!
Möglichkeiten: Heutzutage sind Unternehmenslandschaften dynamisch und die Welt vor uns steckt voller Möglichkeiten – so auch bei Infosys. Unsere einzigartige Unternehmenskultur vereint spannende Aufgaben, innovative Ansätze und nahezu grenzenlose Entwicklungsmöglichkeiten. Klingt gut? Dann warten Sie nicht länger, bewerben Sie sich jetzt.
Karriere: Wenn auch Sie Teil unseres Mottos „navigate your next“ werden, sorgen wir dafür, dass Ihre Karriere niemals stillsteht. Durch gemeinsame Werte, Teams aus außergewöhnlichen Menschen, gegenseitigem Vertrauen und einer kontinuierlichen Lernkurve bieten wir Ihnen ein Umfeld, in dem Ihre Ideen nicht nur gehört, sondern auch verwirklicht werden. Wir fördern eine Atmosphäre, in der Ihre Ideen wachsen können und die Sie persönlich voranbringt.
Arbeitsumfeld: Erleben auch Sie unser offenes, faires, integratives und freundliches Arbeitsumfeld. Neben einer Vielzahl an spannenden und zukunftsweisenden Projekten bieten wir Ihnen innovativ eingerichtete Büros. Mit unserem internationalen Team leben und fördern wir das größtmögliche Spektrum an Vielfalt und Inklusion.
Vergütung: Neben wettbewerbsfähiger Vergütung einschließlich Boni sorgen wir außerdem für Ihre soziale Absicherung, beispielsweise mit individuellen Rentenplänen oder Lebensversicherungen.
Stelle: Data Centre Networks Support Analyst
Standort: Deutschland, Stuttgart oder Bremen
Geschäftsbereich: Fertigungsbetrieb mit Cloud-Infrastruktur (CISMFG)
- Konsolidieren – Transformieren – Modernisieren – auf Basis dieser Eckpfeiler wollen wir die weltweite Nummer 1 in der automobilen IT werden und die digitale Transformation in der Branche weiter vorantreiben. Aus unserer Expertise in Sachen Cloud- und Edge-Computing, künstlicher Intelligenz, Internet of Things und Vernetzung entstand unser neues „Digital Technology and Innovation Center“ für die Automobilindustrie.
Aus der Zusammenarbeit zweier Marktführer – Daimler innerhalb der Automobilindustrie und Infosys an der Spitze der IT-Technologies - entsteht ein einzigartiges Projekt, das noch einmal ganz neue Maßstäbe an die gesamte Branche setzt.
Möchten Sie Teil dieses spannenden und herausfordernden Großprojekts werden? Denn dafür stellen wir zum nächstmöglichen Zeitpunkt noch einen
Ihr Aufgabenbereich als DC Networks Support Analyst
Als Support Analyst für DC Networks arbeiten Sie mit den Anbietern zusammen, um Angebote einzuholen, Verkabelungsarbeiten und Rack-Installationen durchzuführen und die Installation physischer Hardware zu überwachen. Die Überprüfung elektrischer Geräte wie Klima- und Sicherheitskameras gehört ebenso zu Ihrem Aufgabenfeld.
Beim Planen und Organisieren von Begehungen, der Vorbereitung von Notfallplänen sowie Formulierung und Testen von DR-Plänen sind Sie der erste Ansprechpartner. Sie stimmen sich mit den Kundenkontakten des jeweiligen Standorts ab, um Genehmigungen für geplante Wartungen oder Änderungen einzuholen. Darüber hinaus koordinieren Sie sich mit dem Netzwerk-Support-Team, den Remote-Teams als auch den Benutzern, um Vorfälle und technische Anforderungen zu besprechen. Mit Auditverfahren, den ASHRAE 2008 Richtlinien und den allgemeinen Standards in Bezug auf Rechenzentrumseinrichtungen sind Sie vertraut.
Als DC Networks Support Analyst erhalten Sie die außergewöhnliche Gelegenheit, Ihr Wissen über lokale Anlagenanwendungen und Infrastrukturbetriebe noch weiter zu vertiefen. Mit dem stetig wachsenden Knowhow über Stromversorgung und Kühlung, das Layout von physischen Netzwerken sowie Racks, installierter DC-Hardware, WAN- und Internetkonnektivität, Anlagenregister und Ersatzteilen werden Sie Experte auf Ihrem Gebiet.
Gesuchte Qualifikationen
Praktische Erfahrungen in folgenden Bereichen:
Raumgestaltung (Bear Point Load, Höhe der effektiven Fläche), HLK-Design, elektrisches Design für Racks mit 2N-Redundanz
Design und Installation von Netzwerkverkabelungsroute, Kanalbasis und Telefonleitungen
DC Asset- und Ersatzteilmanagement
Installation von und Support für IT-Hardware, Konsolen-Handling, Hand- und Fußunterstützungsverfahren, physische Netzwerktests, Bandhandhabung, Kompensationsverfahren
Fließende Deutsch- und Englischkenntnisse
Art der Stelle: Vollzeit
Homeoffice:
Temporär, aufgrund von COVID-19",27Dec2021-11:34:08
job_1922d5ecc9522d8c,,,,,,27Dec2021-11:34:58
